Rank,Hashtag,Occurrences,Frequency,
0,airbnbfinds,991,1.0000,
1,airbnb,529,0.5338,
2,fyp,185,0.1867,
3,travel,162,0.1635,
4,airbnbhost,127,0.1282,
5,fypシ,85,0.0858,
6,traveltiktok,79,0.0797,
7,airbnbexperience,70,0.0706,
8,airbnbtips,64,0.0646,
9,foryou,61,0.0616,
10,adirondacks,46,0.0464,
11,airbnbcheck,41,0.0414,
12,foryoupage,41,0.0414,
13,cheaptravel,36,0.0363,
14,tinyhouse,35,0.0353,
15,viral,32,0.0323,
16,travelhacks,31,0.0313,
17,tiktoktravel,30,0.0303,
18,traveltok,29,0.0293,
19,treehouse,28,0.0283,
Total,posts:,991,
