Rank,Hashtag,Occurrences,Frequency,
0,eventplanner,964,1.0000,
1,fyp,249,0.2583,
2,foryou,123,0.1276,
3,wedding,114,0.1183,
4,weddingplanner,111,0.1151,
5,party,83,0.0861,
6,foryoupage,83,0.0861,
7,fypシ,79,0.0820,
8,babyshower,76,0.0788,
9,weddingtiktok,76,0.0788,
10,event,75,0.0778,
11,viral,73,0.0757,
12,diy,66,0.0685,
13,eventdecor,55,0.0571,
14,partyplanner,55,0.0571,
15,events,46,0.0477,
16,birthday,45,0.0467,
17,decoration,45,0.0467,
18,eventcompany,45,0.0467,
19,eventplanning,44,0.0456,
Total,posts:,964,,
